Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion,Item,Troquel/Reg.Med ,Drog.Present,Fabricante,Rubro,Cantidad,Precio Unitario,Imp.Bonif,Bonif,Descuento,Importe Cobertura,Importe Afiliado
,0131-03713050,FACTURA DE COMPRA POS,,"$ 10.346,36",12/12/2025,12/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,PASMINOX 40       COMP X 20,7795328054936,OTILONIO BROMURO ,BETA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714376,FACTURA DE COMPRA POS,,"$ 26.690,86",15/12/2025,15/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,DERMAGLOS C AUTOBRONC X 150GR,7793742007316,null,ANDROMACO,ESP.,2,"12.261,63","0,00","0,00","0,00","24.523,26","0,00"
,0131-03714375,FACTURA DE COMPRA POS,,"$ 21.028,26",15/12/2025,15/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,NEUPAX COMP X 30,7790375252069,FLUOXETINA 20 MG ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714387,FACTURA DE COMPRA POS,,"$ 82.848,38",15/12/2025,15/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,DUTIDE  0.5 MG AG PRELL X 4,7796285298739,SEMAGLUTIDA  0.5  ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714389,FACTURA DE COMPRA POS,,"$ 91.390,52",15/12/2025,15/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,METACALMANS  5 MG COMP X 50,7795375000436,METADONA  5 MG ,SOUBEIRAN ,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714294,FACTURA DE COMPRA POS,,"$ 106.296,35",15/12/2025,15/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,AZIATOP 20 MG CAPS X 28,7796285053642,OMEPRAZOL 20 MG ,ELEA,ESP. ,3,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BUSCAPINA PERLAS CAPS X 10,7798389330063,HIOSC N-BUTILBR 10 ,OPELLA ,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CALMADOR 100 MG GTS X20ML,7791171102060,TRAMADOL 100 ,FINADIET,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,METGLUCON  500 AP COMP X 60,7798129414763,METFORMINA  500 ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SERTAL  COMP X 10,7795345001418,PROPINOX 10 MG ,ROEMMERS,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,UNESIA UNG X 20 G,650240011351,BIFONAZOL 1 G% ,GENOMMA ,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714293,FACTURA DE COMPRA POS,,"$ 785.009,70",15/12/2025,15/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ACIFUSIN   CR  X 15 G,7793742002137,FUSIDICO AC. 2 G% ,ANDROMACO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,AET 0.5 % AMP X 2 X 2 ML,7792234088291,HIDROXIPOLIETOXIDO,CRAVERI,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,ALERNIX 24 R/ACC CP X10,7796285271749,CETIRIZINA 10 MG ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,AMIXEN CLAV 1000MG COMP X14,7792175007542,AMOXICILINA+CLAVU,BERNABO (LAB),ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,AMOCLAV DUO COMP X 14,7791909112866,AMOXICILINA+CLAVU,CASASCO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,AXE DEO AER BS GOLD VAIX 97GR,7791293043845,null,UNILEVER P.C.,PER.MASIVA,2,"2.657,97","0,00","0,00","0,00","5.315,94","0,00"
,,,,,,,,,,,AZIATOP 20 MG CAPS X 14,7796285051792,OMEPRAZOL 20 MG ,ELEA,ESP. ,3,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BAGOVIT A PLUS CR X 100 G,7790375000172,VIT.,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BUSCAPINA DUO  GTS X 20 ML,3664798067200,HIOSC N-,OPELLA ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CLIMATIX 2.5  MG COMP X 30,7798129415890,TIBOLONA 2.5  MG ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CLINADOL FTE 100 MG COMP X 16,7792183000177,FLURBIPROFENO 100 ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DICLOGESIC PLUS B12 COMP X 20,7795371459122,DICLOFENAC ,TRB-PHARMA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DULCOLAX GRAG X 10,3664798067217,BISACODILO 5 MG ,OPELLA ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,EUDON COMP X 30,7795338000886,CLEBOPRIDE+SIMETIC,BALIARDA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,EUMICEL 2% SHAMP X 100 ML,7795373010420,KETOCONAZOL   2 ,MEDISOL,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,EUTHYROX  50 MCG COMP X 50,7796285271015,LEVOTIROXINA  50 ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,FACTOR AG 200 MG COMP X 40,7791909106636,SIMETICONA 200 MG ,CASASCO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,FRENALER CORT COMP X 10,7795345120386,DESLORATADINA+BET,ROEMMERS,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,IBUPIRAC FLEX COMP X 20,7791824000545,IBUPROFENO+CLORZ,PFIZER,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,IRIX LAGRIMAS ENV X 15 ML,7798103391172,GLICERINA+ASOC. ,PHARMADORF,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,MICARDIS PLUS 80/12.5MG CMX28,4048846023520,TELMISARTAN+HIDRO,BOEHRINGER ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,MIDAX 10   MG COMP X 28 (NVO),7792183490671,OLANZAPINA 10   MG ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NEBICOR  2.5 MG COMP X 30,7795347909057,NEBIVOLOL  2.5 MG ,LAZAR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NEOBITIOL ROLL ON   X  60 ML,7794428012372,NEOMICINA+ASOC. ,FORTBENTON,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NOVO HUMORAP 20MG COMP RECX28,7790375266530,ESCITALOPRAM 20 ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,PASMINOX 40       COMP X 20,7795328054936,OTILONIO BROMURO ,BETA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,PLIDAN  5 MG COMP X 50,7795345011653,DIAZEPAM  5   MG ,ROEMMERS,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,REFRIANEX A/GRIP COMP X 20,7795378002734,PARACETAMOL+FENIL,MONTPELLIER,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SARVAL  80 MG COMP REC X 30,7795338015668,VALSARTAN  80 MG ,BALIARDA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SIDENAR 2.5 COMP X 100,7795350020381,LORAZEPAM 2.5 MG ,TEVA ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SINALGICO 20 MG COMP X 10,7792175000789,KETOROLAC 20 MG ,BERNABO (LAB),ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SINLIP 10 MG COMP X 30,7792183487527,ROSUVASTATINA 10 ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,T4-MONTPELLIER  25 COMP X  50,7795378005681,LEVOTIROXINA  25 ,MONTPELLIER,ESP. ,4,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,T4-MONTPELLIER  75 COMP X  50,7795378002406,LEVOTIROXINA  75 ,MONTPELLIER,ESP. ,4,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,T4-MONTPELLIER 100 COMP X  50,7795378001324,LEVOTIROXINA 100 ,MONTPELLIER,ESP. ,4,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03715004,FACTURA DE COMPRA POS,,"$ 40.987,47",15/12/2025,15/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,BEMPENAL 180 MG COMP X 30,7798084686953,BEMPEDOICO ÁC. 180 ,ADIUM,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03715007,FACTURA DE COMPRA POS,,"$ 58.901,66",15/12/2025,15/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ATENIX 100 MG COMP X 30,7798084685000,SERTRALINA 100 MG ,ADIUM,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,RISPERIN 1    MG COMP X 60,7792183185812,RISPERIDONA  1    MG ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714962,FACTURA DE COMPRA POS,,"$ 928.047,33",15/12/2025,15/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,ACLOSAN 0.4 MG CAPS X 30,7798016922494,TAMSULOSINA 0.4 ,EUROFARMA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,ACTRON 400 RA CAPS X 10,7793640992752,IBUPROFENO 400 MG ,BAYER ,ESP. ,3,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,ALERNIX 24 R/ACC CP X10,7796285271749,CETIRIZINA 10 MG ,ELEA,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,ALLOPURINOL GADOR 300 CM X 30,7792183488340,ALLOPURINOL 300 ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BACTICORT CPLEX  CR  X 30 G,7795378000242,BETAMETASONA+GEN,MONTPELLIER,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BAGO B1 B6 B12   5000 COMPX30,7790375002152,VIT.B COMPLEJO  ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BAGOHEPAT GTS X 45 ML,7790375269203,CYNARA ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BILETAN ENZIMATICO COMP X 20,7792183100419,TIOCTICO ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BLOKIUM GESIC FORTE COMP X 15,7791909318299,DICLOFENAC ,CASASCO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BRONAX FLEX  COMP X 20,7795345120492,MELOXICAM+PRIDINO,ROEMMERS,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,BUSCAPINA FEM    COMP X  6,7798389330117,HIOSC N-,OPELLA ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CARRIER 20MG COMP X 30,7791909174017,MEMANTINE 20 MG     ,CASASCO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CETIZINE 10 MG COMP X 10,7795347970804,CETIRIZINA 10 MG ,LAZAR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CLIMATIX 2.5  MG COMP X 30,7798129415890,TIBOLONA 2.5  MG ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DAMSELLA COMP X 24 +PLAC X 4,7792183488739,DROSPIRENONA+ETIN,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DICLOGESIC FORTE COMP X 30,7795371458927,DICLOFENAC ,TRB-PHARMA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DIVINA COMP X 28,7796285051426,DROSPIRENONA+ETIN,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DUXETIN 60 MG CAPS X 28,7792183488500,DULOXETINA 60 MG ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,ENA CREAPURE S/SAB  X200G,7792981070792,CREATINA PVO GDO  ,EMPRESA ,NUTRICION/,1,"23.938,44","0,00","0,00","0,00","23.938,44","0,00"
,,,,,,,,,,,EUMICEL 2% SHAMP X 100 ML,7795373010420,KETOCONAZOL   2 ,MEDISOL,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,EXFORGE D 320/25  /10MG CMX28,7795306001136,VALSARTAN+HIDROC,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,FLOGOCOX  90 MG COMP X 14,7790375004446,ETORICOXIB  90 MG ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,FLUCODERM 150 MG COMP X 2,7795373013667,FLUCONAZOL 150 MG ,MEDISOL,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,GLIOSARTAN PLUS 80MG COMP X28,7790375260859,TELMISARTAN+HIDRO,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,HEXALER CORT  JBE  X 60 ML,7798129414947,DESLORATADINA+BET,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,HEXALER NASAL SPR  X 60 DS,7798129417726,MOMETASONA   50 ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,IBU 400 400MG COMP X 20,7790839980590,IBUPROFENO 400 MG ,GENOMMA ,ESP. ,1,"3.107,27","0,00","0,00","0,00","3.107,27","0,00"
,,,,,,,,,,,IBUPIRAC 600MG CAPS BLAND X10,7795381001250,IBUPROFENO 600 MG ,PFIZER,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,ISIS FREE S/ESTROGENOS COMX28,7798129415371,DROSPIRENONA 4 MG ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,KIRUMELLE COMP X 28,7798084683167,DROSPIRENONA+ETIN,ADIUM,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,LOPRED SUSP OFT X 5 ML,7796285255053,LOTEPREDNOL ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,LOTRIAL  10   MG COMP X 60,7795345012797,ENALAPRIL MALEATO ,ROEMMERS,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,MEBUTAR CTO COMP X  6,7793742001772,MEBENDAZOL+TINIDA,ANDROMACO,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,MINUSLIP DUO 200/10MG CM X 60,7795326004490,EZETIMIBE+FENOFIBR,TEVA ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,MOTIONAL LAX 5 MG CAPS X 20,7798032936314,SODIO PICOSULFATO ,SAVANT ,ESP. ,1,"8.524,69","0,00","0,00","0,00","8.524,69","0,00"
,,,,,,,,,,,NEBILET 5 MG COMP X 28,7798129413230,NEBIVOLOL  5   MG ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NEUPAX COMP X 30,7790375252069,FLUOXETINA 20 MG ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NEURYL 2    MG COMP X 60,7790375003470,CLONAZEPAM  2    ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NOVO INSOMNIUM 2 MG COMP X 30,7792183488760,ESZOPICLONA 2 MG ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,OLOPAT F 0.2% SOL OFT X2.5 ML,7796285275068,OLOPATADINE 0.2 G% ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,PRINIL 4 MG COMP X 10,7795371459375,PRIDINOL MESILATO ,TRB-PHARMA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,RESAQUIT (VL)COMP BICAPA X  4,7795347949428,ACETILSALICILICO ,LAZAR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,RUBI COMP REC X 28,7792183000498,DIENOGEST+ESTRADI,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SOMIT 10 MG COMP X 30,7792183186376,ZOLPIDEM 10    MG     ,GADOR,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,SOMIT CR 12.5  MG COMP X 30,7792183488968,ZOLPIDEM 12.5  MG ,GADOR,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,TESTRI CB 100.000UI CAPS X 3,7796285283346,VIT.D3 100000 IU ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,VENART CAPS X 60,7791909423672,RUSCOGENINA+HESP,CASASCO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,D3TAPE COHESI  BAG  5   BEIGE,9421905741361,null,KINEMED SA,ORTOPEDIA Y ,2,"2.387,23","0,00","0,00","0,00","4.774,46","0,00"
,,,,,,,,,,,GEONAT CIT MAGN 500 COMP X 30,7798119969501,MAGNESIO   ,PROVEFARMA,NUTRICION/,1,"6.317,34","0,00","0,00","0,00","6.317,34","0,00"
,,,,,,,,,,,MEDICA APOS 15X15CM X  5U,7798027720379,null,DI-FA-PE,ACC.MASIVOS,3,"7.145,07","0,00","0,00","0,00","21.435,21","0,00"
,,,,,,,,,,,PERVINOX INCOL SPRAY X  40 ML,7791848055262,CLORHEXIDINA ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714961,FACTURA DE COMPRA POS,,"$ 57.270,05",15/12/2025,15/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,COLTIX ADVAN SOL OFTX12ML,7791984000638,TETRAPEPTIDOS+ASO,MILLET (LAB),ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,COLTIX HIDRA LAGRIM X12ML,7791984000737,PROPILENGLICOL ,MILLET (LAB),ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,TRESITE-F POMO X 40 G,7795337903683,TRIIODOTIRONINA+FL,TEMIS-LOSTALO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03714963,FACTURA DE COMPRA POS,,"$ 6.738,36",15/12/2025,15/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,REGULANE CB CAPS  X 20,7791171001288,LOPERAMIDA 2 MG ,FINADIET,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,0131-03715520,FACTURA DE COMPRA POS,,"$ 78.991,06",16/12/2025,16/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,BABYSEC PREMIUM       XXG X8,7790250042907,null,PAPELERA DEL ,PAÑALES,2,"3.570,83","0,00","0,00","0,00","7.141,66","0,00"
,,,,,,,,,,,DERMOGREEN CER DEP C/ALOE LAT,7793090500149,null,PASMANTER,PER.MASIVA,1,"5.041,10","0,00","0,00","0,00","5.041,10","0,00"
,,,,,,,,,,,ELVIVE SH OLEO EXTR RIZOSX200,7509552925883,null,LOREAL ,PER.MASIVA,2,"4.123,43","0,00","0,00","0,00","8.246,86","0,00"
,,,,,,,,,,,ISIS FREE S/ESTROGENOS COMX84,7798129415395,DROSPIRENONA 4 MG ,SIEGFRIED,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,REXONA AER AP ACT EMOT  X148G,7791293049588,null,UNILEVER P.C.,PER.MASIVA,2,"3.542,30","0,00","0,00","0,00","7.084,60","0,00"
,,,,,,,,,,,VOGUE ROST BAS VAL M NA NAT.,7509552847284,null,VOGUE ,PER.MASIVA,1,"12.302,86","0,00","0,00","0,00","12.302,86","0,00"
,0131-03715521,FACTURA DE COMPRA POS,,"$ 264.170,68",16/12/2025,16/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,BIFERDIL PROTEC TERMIC ATO250,7791001011791,null,BIFERDIL,PER.MASIVA,2,"6.814,32","0,00","0,00","0,00","13.628,64","0,00"
,,,,,,,,,,,BODY CARE CINCHA ROTUL    T3,7798082443213,null,BODY CARE,ORTOPEDIA Y ,1,"8.180,46","0,00","0,00","0,00","8.180,46","0,00"
,,,,,,,,,,,BRINTELLIX 20MG COMP REC X 28,7798092890342,VORTIOXETINA 20 ,BIOPAS ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,DOVE ACOND RITUAL REP COCO750,7791293047607,null,UNILEVER P.C.,PER.MASIVA,1,"9.004,09","0,00","0,00","0,00","9.004,09","0,00"
,,,,,,,,,,,NOCTE 10 MG COMP X 30,7790375261993,ZOLPIDEM 10    MG     ,BAGO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,REXONA EFFICIENT DEO ABX 88GR,7791293044453,null,UNILEVER P.C.,PER.MASIVA,3,"3.486,96","0,00","0,00","0,00","10.460,88","0,00"
,,,,,,,,,,,TAXAGON AD  50 MG COMP X 30,7795326010842,TRAZODONE  50 MG ,TEVA ,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,VANSAME G EMULS ANTIA.X130ML,7798095330678,GLICOLICO AC.  9.8% ,VALUGE,ESP.,1,"37.972,60","0,00","0,00","0,00","37.972,60","0,00"
,,,,,,,,,,,VEGANIS LECHE CORRET CAL X500,7798216220048,null,GULL WING S.,PER.MASIVA,2,"7.406,25","0,00","0,00","0,00","14.812,50","0,00"
,,,,,,,,,,,VOGUE ESM  EF.GEL REAL,7509552845488,null,VOGUE ,PER.MASIVA,1,"4.525,66","0,00","0,00","0,00","4.525,66","0,00"
,0131-03716786,FACTURA DE COMPRA POS,,"$ 108.516,72",16/12/2025,16/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ANTHELIOS 50 OIL CONTROL  X50,3337875847292,null,LA ROCHE-,PER.LINEAS,1,"41.614,01","0,00","0,00","0,00","41.614,01","0,00"
,,,,,,,,,,,EFFACLAR MAT           X 40ML,3337872413025,null,LA ROCHE-,PER.LINEAS,1,"48.329,39","0,00","0,00","0,00","48.329,39","0,00"
,0131-03716405,FACTURA DE COMPRA POS,,"$ 3.401,75",16/12/2025,16/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,BODY CARE PROT BUCAL SILI SR,7798082440021,null,BODY CARE,ORTOPEDIA Y ,1,"2.819,52","0,00","0,00","0,00","2.819,52","0,00"
,0131-03716121,FACTURA DE COMPRA POS,,"$ 5.741,80",16/12/2025,16/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,VOGUE ROST PVO BRONCEADOR,7702433289412,null,VOGUE ,PER.MASIVA,1,"6.345,42","0,00","0,00","0,00","6.345,42","0,00"
,0131-03715347,FACTURA DE COMPRA POS,,"$ 581.580,59",16/12/2025,16/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,BILETAN ENZIMATICO COMP X 20,7792183100419,TIOCTICO ,GADOR,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,CALLEXE  500MG COMP X 60,7791909101242,LEVETIRACETAM  500 ,CASASCO,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,HEPATALGINA GTS X 120 ML,7796285286897,CYNARA+BOLDO+ASO,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,LANX    100 MG COMP X 30,7796285050498,ESPIRONOLACTONA ,ELEA,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,LOPRED BIOTIC SUSP OFT X 5 ML,7796285272777,LOTEPREDNOL ,ELEA,ESP. ,2,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,OPTAMOX DUO 1 G COMP X14,7795345011844,AMOXICILINA+CLAVU,ROEMMERS,ESP. ,1,"0,00","0,00","0,00","0,00","0,00","0,00"
